student_id,test_id,subject,topic,question_type,correct,time_taken
1,1,Mathematics,Probability,Direct,1,35
1,1,Mathematics,Probability,Direct,1,30
1,1,Mathematics,Probability,Twisted,0,80
1,1,Mathematics,Probability,Twisted,0,85
1,1,Mathematics,Probability,Direct,1,40
1,1,Mathematics,Probability,Twisted,0,75
1,1,Mathematics,Probability,Direct,1,35
1,1,Mathematics,Calculus,Direct,1,30
1,1,Mathematics,Calculus,Twisted,0,65
1,1,English,Reading,Case,0,80
1,1,English,Reading,Direct,1,45
1,1,English,Grammar,Direct,1,25
1,1,English,Grammar,Twisted,0,60
1,1,Reasoning,Puzzles,Case,0,90
1,1,Reasoning,Puzzles,Direct,1,50
1,1,Reasoning,Seating,Direct,1,40
1,1,Reasoning,Seating,Twisted,0,70
1,1,Mathematics,Algebra,Direct,1,30
1,1,Mathematics,Algebra,Twisted,0,60
1,1,English,Vocabulary,Direct,1,20
1,1,English,Vocabulary,Twisted,0,55
1,1,Reasoning,Coding,Direct,1,35
1,1,Reasoning,Coding,Twisted,0,75
1,1,Mathematics,Probability,Case,0,85
1,2,English,Grammar,Direct,1,30
1,2,English,Grammar,Twisted,1,40
1,2,English,Grammar,Direct,1,25
1,2,English,Grammar,Twisted,1,35
1,2,English,Reading,Direct,1,30
1,2,English,Reading,Twisted,1,35
1,2,English,Reading,Direct,1,25
1,2,English,Reading,Twisted,1,40
